Flight,To,STD,Departed,Arrived,Duration,Terminal,Gate
MI342 SLK342, Kuala Lumpur (KUL / WMKK),19:55 UTC+08,20:56 UTC+08 ,22:01 UTC+08,1h 5m,2,E7
3K239 JSA239, Denpasar (DPS / WADD),19:55 UTC+08,19:53 UTC+08 ,22:40 WITA,2h 47m,1,D37
SQ868 SIA868, Hong Kong (HKG / VHHH),19:55 UTC+08,20:02 UTC+08 ,23:48 HKT,3h 46m,3,A21
MI803 SLK803, Darwin (DRW / YPDN),19:55 UTC+08,20:15 UTC+08 ,02:10 ACST,4h 25m,2,F35
SQ516 SIA516, Kolkata (CCU / VECC),19:55 UTC+08,20:30 UTC+08 ,22:06 IST,4h 6m,3,A3
PR512 PAL512, Manila (MNL / RPLL),20:00 UTC+08,19:57 UTC+08 ,23:39 PST,3h 42m,1,C20
MI474 SLK474, Hyderabad (HYD / VOHS),20:00 UTC+08,21:45 UTC+08 ,23:54 IST,4h 39m,2,F35
SQ502 SIA502, Bangalore (BLR / VOBL),20:05 UTC+08,20:30 UTC+08 ,22:05 IST,4h 5m,3,A17
SQ247 SIA247, Melbourne (MEL / YMML),20:05 UTC+08,20:06 UTC+08 ,06:21 AEDT,7h 15m,3,A1
QZ265 AWQ265, Jakarta (CGK / WIII),20:10 UTC+08,20:34 UTC+08 ,21:11 WIB,1h 37m,4,G8
PG962 BKP962, Koh Samui (USM / VTSM),20:10 UTC+08,20:09 UTC+08 ,20:56 UTC+07,1h 47m,1,C17
QF52 QFA52, Brisbane (BNE / YBBN),20:10 UTC+08,20:23 UTC+08 ,05:36 AEST,7h 13m,1,D41
BA15 BAW15, Sydney (SYD / YSSY),20:10 UTC+08,20:04 UTC+08 ,06:35 AEDT,7h 31m,1,B10
3K537 JSA537, Phuket (HKT / VTSP),20:15 UTC+08,20:13 UTC+08 ,21:12 UTC+07,1h 59m,1,C11
CX636 CPA636, Hong Kong (HKG / VHHH),20:15 UTC+08,20:15 UTC+08 ,00:00 HKT,3h 45m,4,G19
AK718 AXM718, Kuala Lumpur (KUL / WMKK),20:15 UTC+08,21:42 UTC+08 ,22:33 UTC+08,51m,4,G4
PX393 ANG393, Port Moresby (POM / AYPY),20:15 UTC+08,20:15 UTC+08 ,04:51 UTC+10,6h 36m,1,D42
GA839 GIA839, Jakarta (CGK / WIII),20:20 UTC+08,20:20 UTC+08 ,21:09 WIB,1h 49m,3,B8
MI468 SLK468, Cochin (COK / VOCI),20:20 UTC+08,20:48 UTC+08 ,22:33 IST,4h 15m,2,F36
SQ528 SIA528, Chennai (MAA / VOMM),20:20 UTC+08,20:49 UTC+08 ,22:23 IST,4h 4m,3,A9
MI356 SLK356, Penang (PEN / WMKP),20:25 UTC+08,20:38 UTC+08 ,22:00 UTC+08,1h 22m,2,E1
QR947 QTR947, Doha (DOH / OTHH),20:25 UTC+08,20:32 UTC+08 ,23:49 UTC+03,8h 17m,1,D32
3K205 JSA205, Jakarta (CGK / WIII),20:30 UTC+08,23:06 UTC+08 ,23:54 WIB,1h 48m,1,C16
CI751 CAL751, Surabaya (SUB / WARR),20:30 UTC+08,20:35 UTC+08 ,22:01 WIB,2h 26m,3,B5
QF82 QFA82, Sydney (SYD / YSSY),20:30 UTC+08,20:32 UTC+08 ,07:16 AEDT,7h 44m,1,C24
FD350 AIQ350, Bangkok (DMK / VTBD),20:35 UTC+08,20:58 UTC+08 ,22:30 UTC+07,2h 32m,4,G1
SQ452 SIA452, Male (MLE / VRMM),20:35 UTC+08,20:51 UTC+08 ,22:13 UTC+05,4h 22m,2,F58
SQ221 SIA221, Sydney (SYD / YSSY),20:40 UTC+08,20:45 UTC+08 ,07:15 AEDT,7h 30m,3,B2
SQ38 SIA38, Los Angeles (LAX / KLAX),20:45 UTC+08,20:49 UTC+08 ,20:00 PST,15h 11m,3,A15
VN656 HVN656, Ho Chi Minh City (SGN / VVTS),20:45 UTC+08,21:10 UTC+08 ,22:30 UTC+07,2h 20m,4,H2
QZ509 AWQ509, Denpasar (DPS / WADD),20:45 UTC+08,20:56 UTC+08 ,23:41 WITA,2h 45m,4,G11
TR580 TGW580, Visakhapatnam (VTZ / VEVZ),20:45 UTC+08,21:18 UTC+08 ,22:25 IST,3h 36m,1,E27
TR530 TGW530, Thiruvananthapuram (TRV / VOTV),20:45 UTC+08,21:25 UTC+08 ,23:02 IST,4h 6m,1,D38
IX485 AXB485, Bangalore (BLR / VOBL),20:45 UTC+08,20:45 UTC+08 ,23:24 IST,5h 9m,2,E6
AK1730 AXM1730, Penang (PEN / WMKP),20:50 UTC+08,21:07 UTC+08 ,22:21 UTC+08,1h 14m,4,G2
TR540 TGW540, Coimbatore (CJB / VOCB),20:50 UTC+08,20:50 UTC+08 ,23:09 IST,4h 49m,1,D48
FJ360 FJI360, Nadi (NAN / NFFN),20:55 UTC+08,20:57 UTC+08 ,11:55 UTC+13,9h 58m,1,C22
ID7162 BTK7162, Jakarta (CGK / WIII),21:00 UTC+08,21:00 UTC+08 ,21:52 WIB,1h 52m,1,A16
TG410 THA410, Bangkok (BKK / VTBS),21:00 UTC+08,21:01 UTC+08 ,22:22 UTC+07,2h 21m,1,C13
RX785 , Dhaka (DAC / VGHS),21:00 UTC+08,21:00 UTC+08,23:15 UTC+06,4h 15m,4,G17
EK355 UAE355, Dubai (DXB / OMDB),21:00 UTC+08,21:13 UTC+08 ,01:00 UTC+04,7h 47m,1,B7
UB4 UBA004, Yangon (RGN / VYYY),21:15 UTC+08,21:46 UTC+08 ,22:56 UTC+0630,2h 40m,3,A3
MH610 MAS610, Kuala Lumpur (KUL / WMKK),21:20 UTC+08,22:28 UTC+08 ,23:33 UTC+08,1h 5m,2,F52
BI424 RBA424, Brunei (BWN / WBSB),21:25 UTC+08,21:25 UTC+08 ,23:35 UTC+08,2h 10m,2,F30
SL105 TLM105, Bangkok (DMK / VTBD),21:25 UTC+08,23:03 UTC+08 ,00:32 UTC+07,2h 28m,3,B5
OD806 MXD806, Kuala Lumpur (KUL / WMKK),21:30 UTC+08,01:06 UTC+08 ,01:55 UTC+08,48m,3,A9
TR564 TGW564, Tiruchirapalli (TRZ / VOTR),21:30 UTC+08,21:30 UTC+08 ,23:16 IST,4h 16m,1,E27
SQ235 SIA235, Brisbane (BNE / YBBN),21:35 UTC+08,22:57 UTC+08 ,08:12 AEST,7h 15m,3,B3
TR468 TGW468, Kuala Lumpur (KUL / WMKK),21:50 UTC+08,22:20 UTC+08 ,23:29 UTC+08,1h 9m,1,D38
SQ227 SIA227, Melbourne (MEL / YMML),21:50 UTC+08,21:53 UTC+08 ,08:17 AEDT,7h 24m,3,B10
QZ269 AWQ269, Jakarta (CGK / WIII),21:55 UTC+08,21:49 UTC+08 ,22:25 WIB,1h 36m,4,G8
3K775 JSA775, Angeles City (CRK / RPLC),22:00 UTC+08,22:46 UTC+08 ,02:19 PST,3h 33m,1,C17
GA847 GIA847, Jakarta (CGK / WIII),22:05 UTC+08,22:05 UTC+08 ,22:46 WIB,1h 41m,3,A9
ID7158 BTK7158, Jakarta (CGK / WIII),22:05 UTC+08,22:05 UTC+08 ,22:49 WIB,1h 44m,1,A18
TR868 TGW868, Bangkok (DMK / VTBD),22:05 UTC+08,22:05 UTC+08 ,23:32 UTC+07,2h 27m,1,D36
SQ468 SIA468, Colombo (CMB / VCBI),22:10 UTC+08,22:18 UTC+08 ,23:31 UTC+0530,3h 43m,2,E3
TR574 TGW574, Hyderabad (HYD / VOHS),22:10 UTC+08,22:10 UTC+08 ,00:44 IST,5h 4m,1,C19
TR578 TGW578, Chennai (MAA / VOMM),22:15 UTC+08,22:15 UTC+08 ,23:44 IST,3h 59m,1,D49
UA28 UAL28, San Francisco (SFO / KSFO),22:20 UTC+08,22:27 UTC+08 ,21:05 PST,14h 38m,2,E20
Z27237 APG7237, Cebu (CEB / RPVM),22:20 UTC+08,22:20 UTC+08 ,01:47 PST,3h 27m,4,G1
NH844 ANA844, Tokyo (HND / RJTT),22:20 UTC+08,22:20 UTC+08 ,05:42 JST,6h 22m,2,E22
TR6 TGW006, Gold Coast (OOL / YBCG),22:20 UTC+08,22:20 UTC+08 ,07:29 AEST,7h 9m,1,D44
MI462 SLK462, Cochin (COK / VOCI),22:25 UTC+08,00:01 UTC+08 ,01:52 IST,4h 21m,2,F41
JL36 JAL36, Tokyo (HND / RJTT),22:25 UTC+08,22:24 UTC+08 ,05:58 JST,6h 34m,1,C18
SQ285 SIA285, Auckland (AKL / NZAA),22:25 UTC+08,22:55 UTC+08 ,13:21 NZDT,9h 26m,3,A2
TR106 TGW106, Guangzhou (CAN / ZGGG),22:30 UTC+08,23:05 UTC+08 ,03:26 CST,4h 21m,1,C11
KE644 KAL644, Seoul (ICN / RKSI),22:30 UTC+08,22:31 UTC+08 ,05:48 KST,6h 17m,4,G18
AK720 AXM720, Kuala Lumpur (KUL / WMKK),22:35 UTC+08,22:33 UTC+08 ,23:32 UTC+08,59m,4,G11
SQ968 SIA968, Jakarta (CGK / WIII),22:40 UTC+08,22:40 UTC+08 ,23:23 WIB,1h 43m,2,F33
9C8550 CQH8550, Shanghai (PVG / ZSPD),22:40 UTC+08,22:40 UTC+08 ,03:39 CST,4h 59m,4,G6
FD352 AIQ352, Bangkok (DMK / VTBD),22:45 UTC+08,22:59 UTC+08 ,00:15 UTC+07,2h 16m,4,G8
SQ636 SIA636, Tokyo (HND / RJTT),22:45 UTC+08,22:49 UTC+08 ,06:15 JST,6h 26m,3,A11
BA16 BAW16, London (LHR / EGLL),22:55 UTC+08,23:00 UTC+08 ,04:50 GMT,13h 50m,1,C22
AK1726 AXM1726, Penang (PEN / WMKP),22:55 UTC+08,23:25 UTC+08 ,00:38 UTC+08,1h 13m,4,G2
TR566 TGW566, Tiruchirapalli (TRZ / VOTR),22:55 UTC+08,22:55 UTC+08 ,00:52 IST,4h 27m,1,D35
HO1606 DKH1606, Shanghai (PVG / ZSPD),22:55 UTC+08,22:55 UTC+08 ,04:17 CST,5h 22m,4,G9
MU566 CES566, Shanghai (PVG / ZSPD),23:00 UTC+08,23:55 UTC+08 ,05:02 CST,5h 7m,3,A19
AI383 AIC383, Delhi (DEL / VIDP),23:00 UTC+08,22:55 UTC+08 ,02:25 IST,6h,2,F52
SQ660 SIA660, Sapporo (CTS / RJCC),23:00 UTC+08,23:03 UTC+08 ,07:35 JST,7h 32m,3,A21
AF257 AFR257, Paris (CDG / LFPG),23:05 UTC+08,23:10 UTC+08 ,06:09 CET,13h 59m,1,C24
AK9726 AXM9726, Kuala Lumpur (KUL / WMKK),23:05 UTC+08,23:02 UTC+08 ,23:50 UTC+08,48m,4,G10
SQ616 SIA616, Busan (PUS / RKPK),23:10 UTC+08,00:34 UTC+08 ,07:22 KST,5h 48m,3,A18
OZ752 AAR752, Seoul (ICN / RKSI),23:10 UTC+08,23:21 UTC+08 ,06:42 KST,6h 21m,3,B7
BA12 BAW12, London (LHR / EGLL),23:15 UTC+08,23:31 UTC+08 ,05:25 GMT,13h 54m,1,C26
TK55 THY55, Istanbul (ISL / LTBA),23:35 UTC+08,23:38 UTC+08 ,06:00 UTC+03,11h 22m,1,D42
SQ279 SIA279, Adelaide (ADL / YPAD),23:35 UTC+08,23:45 UTC+08 ,08:58 ACDT,6h 43m,3,B8
QF38 QFA38, Melbourne (MEL / YMML),23:40 UTC+08,23:39 UTC+08 ,10:12 AEDT,7h 33m,1,C13
AY132 FIN132, Helsinki (HEL / EFHK),23:45 UTC+08,23:45 UTC+08 ,05:49 EET,12h 4m,1,D48
SQ356 SIA356, Milan (MXP / LIMC),23:45 UTC+08,03:48 UTC+08 ,09:55 CET,13h 7m,3,B6
SQ322 SIA322, London (LHR / EGLL),23:45 UTC+08,01:22 UTC+08 ,07:23 GMT,14h 1m,3,A5
LH791 DLH791, Munich (MUC / EDDM),23:55 UTC+08,00:09 UTC+08 ,05:53 CET,12h 44m,2,E28
LH779 DLH779, Frankfurt (FRA / EDDF),23:55 UTC+08,00:20 UTC+08 ,06:36 CET,13h 16m,2,E8
SQ352 SIA352, Copenhagen (CPH / EKCH),23:55 UTC+08,23:55 UTC+08 ,05:57 CET,13h 2m,3,C20
SQ324 SIA324, Amsterdam (AMS / EHAM),23:55 UTC+08,01:11 UTC+08 ,07:48 CET,13h 37m,3,A1
SQ338 SIA338, Dusseldorf (DUS / EDDL),23:55 UTC+08,01:41 UTC+08 ,08:21 CET,13h 40m,3,A15
SQ26 SIA26, Frankfurt (FRA / EDDF),23:55 UTC+08,01:40 UTC+08 ,08:26 CET,13h 46m,3,A10
QF1 QFA1, London (LHR / EGLL),23:55 UTC+08,23:59 UTC+08 ,06:09 GMT,14h 10m,1,C23
SQ638 SIA638, Tokyo (NRT / RJAA),23:55 UTC+08,23:52 UTC+08 ,07:23 JST,6h 31m,3,B2
