Flight,To,STD,Departed,Arrived,Duration,Terminal,Gate
TR890 , Sapporo (CTS / RJCC),06:05 UTC+08,06:05 UTC+08 ,14:35 JST,7h 30m,1,C25
TR894 TGW894, Kaohsiung (KHH / RCKH),06:25 UTC+08,06:55 UTC+08 ,10:45 CST,NULL,1,C26
NH802 ANA802, Tokyo (NRT / RJAA),06:35 UTC+08,06:33 UTC+08 ,14:04 JST,6h 31m,2,E4
CX692 CPA692, Hong Kong (HKG / VHHH),06:40 UTC+08,07:49 UTC+08 ,10:36 HKT,NULL,4,G21
TR484 TGW484, Ipoh (IPH / WMKI),06:45 UTC+08,06:45 UTC+08 ,07:55 UTC+08,1h 10m,1,C16
SQ950 SIA950, Jakarta (CGK / WIII),06:50 UTC+08,06:58 UTC+08 ,07:26 WIB,1h 28m,2,E3
MI750 SLK750, Phuket (HKT / VTSP),07:00 UTC+08,07:06 UTC+08 ,07:35 UTC+07,1h 29m,2,F42
TR608 , Bangkok (BKK / VTBS),07:00 UTC+08,07:13 UTC+08 ,08:30 UTC+07,2h 30m,1,D35
MI972 SLK972, Chongqing (CKG / ZUCK),07:00 UTC+08,06:58 UTC+08 ,11:28 CST,4h 30m,2,E6
MI962 SLK962, Shenzhen (SZX / ZGSZ),07:05 UTC+08,07:12 UTC+08 ,11:12 CST,4h,2,E4
SQ241 SIA241, Sydney (SYD / YSSY),07:05 UTC+08,07:08 UTC+08 ,18:17 AEDT,8h 9m,3,B5
3K721 JSA721, Taipei (TPE / RCTP),07:10 UTC+08,09:05 UTC+08 ,19:54 CST,NULL,1,B1
MI322 SLK322, Kuala Lumpur (KUL / WMKK),07:10 UTC+08,07:20 UTC+08 ,08:10 UTC+08,1h,2,F35
3K555 JSA555, Ho Chi Minh City (SGN / VVTS),07:10 UTC+08,07:20 UTC+08 ,08:23 UTC+07,2h 3m,1,D32
SQ970 SIA970, Bangkok (BKK / VTBS),07:15 UTC+08,07:37 UTC+08 ,08:50 UTC+07,2h 13m,2,E11
TR280 TGW280, Denpasar (DPS / WADD),07:15 UTC+08,07:15 UTC+08 ,09:46 WITA,2h 31m,1,D44
SQ265 SIA265, Brisbane (BNE / YBBN),07:15 UTC+08,07:24 UTC+08 ,16:26 AEST,7h 2m,3,B6
TR12 , Sydney (SYD / YSSY),07:15 UTC+08,07:15 UTC+08 ,18:24 AEDT,8h 9m,1,C24
3K683 JSA683, Kuala Lumpur (KUL / WMKK),07:20 UTC+08,07:30 UTC+08 ,08:25 UTC+08,1h 5m,1,C11
GA823 GIA823, Jakarta (CGK / WIII),07:25 UTC+08,07:27 UTC+08 ,08:12 WIB,1h 45m,3,A7
MI234 SLK234, Medan (KNO / WIMM),07:30 UTC+08,07:45 UTC+08 ,08:02 WIB,1h 16m,2,E24
SQ828 SIA828, Shanghai (PVG / ZSPD),07:30 UTC+08,07:30 UTC+08 ,12:40 CST,5h 10m,3,A6
AK700 AXM700, Kuala Lumpur (KUL / WMKK),07:35 UTC+08,07:32 UTC+08 ,08:35 UTC+08,1h,4,G4
SQ952 SIA952, Jakarta (CGK / WIII),07:40 UTC+08,07:40 UTC+08 ,08:20 WIB,1h 40m,2,E26
MI602 SLK602, Phnom Penh (PNH / VDPP),07:40 UTC+08,07:49 UTC+08 ,08:47 UTC+07,1h 58m,2,F52
TR264 TGW264, Surabaya (SUB / WARR),07:40 UTC+08,07:41 UTC+08 ,09:05 WIB,2h 25m,1,C19
3K817 JSA817, Haikou (HAK / ZJHK),07:40 UTC+08,07:47 UTC+08 ,11:20 CST,3h 33m,1,D30
SQ213 SIA213, Perth (PER / YPPH),07:40 UTC+08,07:40 UTC+08 ,12:50 AWST,5h 10m,3,A12
MI142 , Makassar (UPG / WAAA),07:45 UTC+08,07:49 UTC+08 ,10:41 WITA,2h 52m,2,F52
SQ422 SIA422, Mumbai (BOM / VABB),07:45 UTC+08,07:55 UTC+08 ,10:39 IST,5h 14m,3,B3
SQ207 SIA207, Melbourne (MEL / YMML),07:45 UTC+08,07:42 UTC+08 ,18:07 AEDT,7h 25m,3,B1
SQ930 SIA930, Surabaya (SUB / WARR),07:50 UTC+08,07:48 UTC+08 ,09:20 WIB,2h 32m,2,F58
MI346 SLK346, Penang (PEN / WMKP),07:55 UTC+08,07:55 UTC+08 ,09:05 UTC+08,1h 10m,2,F33
3K533 JSA533, Phuket (HKT / VTSP),07:55 UTC+08,07:55 UTC+08 ,08:47 UTC+07,1h 52m,1,D37
MI134 SLK134, Balikpapan (BPN / WALL),07:55 UTC+08,08:12 UTC+08 ,10:34 WITA,2h 21m,2,E7
SQ998 SIA998, Yangon (RGN / VYYY),07:55 UTC+08,08:00 UTC+08 ,09:11 UTC+0630,2h 41m,2,F31
TR426 TGW426, Penang (PEN / WMKP),08:01 UTC+08,08:29 UTC+08 ,09:36 UTC+08,1h 6m,1,C3
CX710 CPA710, Hong Kong (HKG / VHHH),08:01 UTC+08,08:00 UTC+08 ,11:33 HKT,3h 33m,4,G20
SQ850 SIA850, Guangzhou (CAN / ZGGG),08:05 UTC+08,08:02 UTC+08 ,11:56 CST,3h 54m,3,A16
CZ352 CSN352, Guangzhou (CAN / ZGGG),08:05 UTC+08,08:12 UTC+08 ,12:08 CST,3h 56m,1,D36
MI922 SLK922, Xiamen (XMN / ZSAM),08:05 UTC+08,08:15 UTC+08 ,12:33 CST,4h 18m,2,E1
SQ600 SIA600, Seoul (ICN / RKSI),08:05 UTC+08,08:11 UTC+08 ,15:23 KST,6h 12m,3,A3
SQ632 SIA632, Tokyo (HND / RJTT),08:05 UTC+08,08:00 UTC+08 ,15:40 JST,6h 40m,3,B6
3K285 JSA285, Medan (KNO / WIMM),08:10 UTC+08,08:20 UTC+08 ,08:32 WIB,1h 11m,1,C11
MI772 SLK772, Koh Samui (USM / VTSM),08:10 UTC+08,08:09 UTC+08 ,08:44 UTC+07,1h 35m,2,E10
SQ876 SIA876, Taipei (TPE / RCTP),08:10 UTC+08,08:07 UTC+08 ,12:39 CST,4h 32m,3,B8
TR274 TGW274, Jakarta (CGK / WIII),08:15 UTC+08,08:15 UTC+08 ,08:58 WIB,1h 43m,1,C13
TG402 THA402, Bangkok (BKK / VTBS),08:15 UTC+08,08:17 UTC+08 ,09:32 UTC+07,2h 15m,1,D49
SQ938 SIA938, Denpasar (DPS / WADD),08:20 UTC+08,08:30 UTC+08 ,11:10 WITA,2h 40m,2,E3
MI152 SLK152, Yogyakarta (JOG / WAHH),08:20 UTC+08,11:58 UTC+08 ,13:04 WIB,2h 6m,2,F37
TR384 TGW384, Cebu (CEB / RPVM),08:20 UTC+08,08:20 UTC+08 ,12:12 PST,3h 52m,1,D42
AI381 AIC381, Delhi (DEL / VIDP),08:20 UTC+08,08:26 UTC+08 ,11:26 IST,5h 30m,2,E4
JL712 JAL712, Tokyo (NRT / RJAA),08:20 UTC+08,08:19 UTC+08 ,16:01 JST,6h 42m,1,C18
SQ860 SIA860, Hong Kong (HKG / VHHH),08:25 UTC+08,08:53 UTC+08 ,12:40 HKT,3h 47m,3,A11
TR648 TGW648, Phuket (HKT / VTSP),08:30 UTC+08,08:34 UTC+08 ,09:09 UTC+07,1h 35m,1,C24
SQ106 SIA106, Kuala Lumpur (KUL / WMKK),08:30 UTC+08,08:58 UTC+08 ,09:44 UTC+08,45m,2,F34
TR874 TGW874, Taipei (TPE / RCTP),08:30 UTC+08,08:30 UTC+08 ,13:31 CST,5h 1m,1,C26
SQ277 SIA277, Adelaide (ADL / YPAD),08:30 UTC+08,08:33 UTC+08 ,17:44 ACDT,6h 41m,3,A20
MI614 SLK614, Siem Reap (REP / VDSR),08:40 UTC+08,08:55 UTC+08 ,09:51 UTC+07,1h 56m,2,F32
SQ182 SIA182, Brunei (BWN / WBSB),08:40 UTC+08,08:49 UTC+08 ,10:46 UTC+08,1h 57m,2,F41
MI392 SLK392, Kota Kinabalu (BKI / WBKK),08:45 UTC+08,08:43 UTC+08 ,10:51 UTC+08,2h 8m,2,F56
SQ802 SIA802, Beijing (PEK / ZBAA),08:45 UTC+08,08:50 UTC+08 ,15:07 CST,6h 17m,3,B4
SQ281 SIA281, Auckland (AKL / NZAA),08:45 UTC+08,08:49 UTC+08 ,23:06 NZDT,9h 17m,3,B7
MI102 SLK102, Semarang (SRG / WIIS),08:50 UTC+08,09:06 UTC+08 ,10:22 WIB,2h 16m,2,F52
AK702 AXM702, Kuala Lumpur (KUL / WMKK),08:55 UTC+08,08:55 UTC+08 ,09:38 UTC+08,42m,4,G1
SQ308 SIA308, London (LHR / EGLL),09:00 UTC+08,09:01 UTC+08 ,14:59 GMT,13h 58m,3,B2
AI347 AIC347, Chennai (MAA / VOMM),09:00 UTC+08,09:32 UTC+08 ,10:56 IST,3h 54m,2,E2
SQ942 SIA942, Denpasar (DPS / WADD),09:05 UTC+08,09:23 UTC+08 ,11:57 WITA,2h 34m,2,F31
TR350 TGW350, Luang Prabang (LPQ / VLLB),09:05 UTC+08,09:05 UTC+08 ,11:09 UTC+07,3h 4m,1,D40
MI424 SLK424, Bangalore (BLR / VOBL),09:05 UTC+08,09:13 UTC+08 ,10:55 IST,4h 12m,2,F36
3K581 JSA581, Yangon (RGN / VYYY),09:10 UTC+08,09:25 UTC+08 ,10:39 UTC+0630,2h 44m,1,D44
TR452 TGW452, Kuala Lumpur (KUL / WMKK),09:10 UTC+08,09:19 UTC+08 ,09:59 UTC+08,40m,1,C16
MI632 SLK632, Da Nang (DAD / VVDN),09:15 UTC+08,11:39 UTC+08 ,13:32 UTC+07,2h 53m,2,E2
SQ910 SIA910, Manila (MNL / RPLL),09:15 UTC+08,09:12 UTC+08 ,12:48 PST,3h 36m,2,E24
SQ32 SIA32, San Francisco (SFO / KSFO),09:20 UTC+08,09:23 UTC+08 ,08:05 PST,14h 42m,3,A15
SQ176 SIA176, Hanoi (HAN / VVNB),09:20 UTC+08,09:18 UTC+08 ,11:28 UTC+07,3h 10m,2,F50
MI274 SLK274, Manado (MDC / WAMM),09:20 UTC+08,09:58 UTC+08 ,13:12 WITA,3h 14m,2,F35
MI324 SLK324, Kuala Lumpur (KUL / WMKK),09:20 UTC+08,10:32 UTC+08 ,11:17 UTC+08,45m,2,E6
SQ830 SIA830, Shanghai (PVG / ZSPD),09:20 UTC+08,09:29 UTC+08 ,14:41 CST,5h 12m,3,A4
SQ12 SIA12, Tokyo (NRT / RJAA),09:20 UTC+08,09:21 UTC+08 ,17:07 JST,6h 46m,3,B9
SQ956 SIA956, Jakarta (CGK / WIII),09:30 UTC+08,09:38 UTC+08 ,10:15 WIB,1h 37m,2,F60
TR606 TGW606, Bangkok (BKK / VTBS),09:30 UTC+08,09:30 UTC+08 ,11:01 UTC+07,2h 31m,1,D35
MI560 SLK560, Cebu (CEB / RPVM),09:30 UTC+08,09:33 UTC+08 ,13:03 PST,3h 30m,2,F56
UK116 VTI116, Delhi (DEL / VIDP),09:30 UTC+08,09:43 UTC+08 ,13:04 IST,5h 51m,3,A6
SQ223 SIA223, Perth (PER / YPPH),09:30 UTC+08,09:28 UTC+08 ,14:34 AWST,5h 6m,3,B1
TR10 TGW010, Perth (PER / YPPH),09:30 UTC+08,09:33 UTC+08 ,14:42 AWST,5h 9m,1,C23
CA976 CCA976, Beijing (PEK / ZBAA),09:30 UTC+08,09:25 UTC+08 ,15:47 CST,6h 22m,1,C25
EK433 UAE433, Dubai (DXB / OMDB),09:35 UTC+08,09:46 UTC+08 ,13:26 UTC+04,7h 40m,1,C24
SQ288 SIA288, Sydney (SYD / YSSY),09:35 UTC+08,09:35 UTC+08 ,20:30 AEDT,7h 55m,3,C1
JT153 LNI153, Jakarta (CGK / WIII),09:45 UTC+08,09:49 UTC+08 ,10:27 WIB,1h 37m,3,B6
SQ972 SIA972, Bangkok (BKK / VTBS),09:45 UTC+08,09:46 UTC+08 ,11:13 UTC+07,2h 27m,2,E27
UL307 ALK307, Colombo (CMB / VCBI),09:45 UTC+08,09:43 UTC+08 ,11:00 UTC+0530,3h 47m,3,A9
SQ245 SIA245, Brisbane (BNE / YBBN),09:45 UTC+08,09:44 UTC+08 ,19:17 AEST,7h 33m,3,A1
SQ992 SIA992, Phuket (HKT / VTSP),09:50 UTC+08,09:49 UTC+08 ,10:39 UTC+07,1h 50m,2,F40
TR276 TGW276, Jakarta (CGK / WIII),09:50 UTC+08,09:50 UTC+08 ,10:40 WIB,1h 50m,1,C20
SQ178 SIA178, Ho Chi Minh City (SGN / VVTS),09:50 UTC+08,09:59 UTC+08 ,11:01 UTC+07,2h 2m,2,F54
SQ856 SIA856, Hong Kong (HKG / VHHH),09:55 UTC+08,10:03 UTC+08 ,13:51 HKT,3h 48m,3,B5
MH604 MAS604, Kuala Lumpur (KUL / WMKK),09:55 UTC+08,10:13 UTC+08 ,11:03 UTC+08,50m,2,E1
MI348 SLK348, Penang (PEN / WMKP),10:00 UTC+08,12:22 UTC+08 ,13:33 UTC+08,1h 11m,2,E1
GA825 GIA825, Jakarta (CGK / WIII),10:00 UTC+08,10:00 UTC+08 ,10:55 WIB,1h 55m,3,A18
TR114 TGW114, Nanning (NNG / ZGNN),10:00 UTC+08,10:00 UTC+08 ,13:52 CST,3h 52m,1,D35
CX658 CPA658, Hong Kong (HKG / VHHH),10:00 UTC+08,10:00 UTC+08 ,13:53 HKT,3h 53m,4,G19
D7673 XAX673, Kuala Lumpur (KUL / WMKK),10:05 UTC+08,10:26 UTC+08 ,11:08 UTC+08,41m,4,G20
UA2 UAL2, San Francisco (SFO / KSFO),10:10 UTC+08,10:03 UTC+08 ,08:42 PST,14h 39m,2,E26
OD802 MXD802, Kuala Lumpur (KUL / WMKK),10:10 UTC+08,10:28 UTC+08 ,11:14 UTC+08,45m,3,A19
MU546 CES546, Shanghai (PVG / ZSPD),10:10 UTC+08,10:13 UTC+08 ,15:12 CST,4h 59m,3,A21
EK432 UAE432, Brisbane (BNE / YBBN),10:10 UTC+08,10:07 UTC+08 ,19:31 AEST,7h 24m,1,C13
3K671 JSA671, Penang (PEN / WMKP),10:15 UTC+08,10:24 UTC+08 ,11:44 UTC+08,1h 20m,1,C19
5J814 CEB814, Manila (MNL / RPLL),10:15 UTC+08,10:33 UTC+08 ,14:11 PST,3h 37m,4,G2
MI326 SLK326, Kuala Lumpur (KUL / WMKK),10:15 UTC+08,11:18 UTC+08 ,12:16 UTC+08,58m,2,F41
QZ263 AWQ263, Jakarta (CGK / WIII),10:20 UTC+08,10:20 UTC+08 ,10:55 WIB,1h 35m,4,G10
CI752 CAL752, Taipei (TPE / RCTP),10:25 UTC+08,10:31 UTC+08 ,15:01 CST,4h 30m,3,A17
TR180 TGW180, Nanjing (NKG / ZSNJ),10:25 UTC+08,10:25 UTC+08 ,15:54 CST,5h 29m,1,D36
TR284 TGW284, Denpasar (DPS / WADD),10:30 UTC+08,10:30 UTC+08 ,13:39 WITA,3h 9m,1,D47
UK106 VTI106, Mumbai (BOM / VABB),10:30 UTC+08,10:36 UTC+08 ,13:36 IST,5h 30m,3,A6
SQ211 SIA211, Sydney (SYD / YSSY),10:30 UTC+08,10:28 UTC+08 ,21:12 AEDT,7h 44m,3,A14
QZ366 AWQ366, Bandung (BDO / WICC),10:35 UTC+08,10:31 UTC+08 ,11:22 WIB,1h 51m,4,G8
PR502 PAL502, Manila (MNL / RPLL),10:35 UTC+08,10:30 UTC+08 ,14:12 PST,3h 42m,1,C18
AK733 AXM733, Langkawi (LGK / WMKL),10:45 UTC+08,10:36 UTC+08 ,11:52 UTC+08,1h 16m,4,G4
IX683 AXB683, Madurai (IXM / VOMD),10:45 UTC+08,10:45 UTC+08 ,12:11 IST,3h 56m,2,F30
TR174 TGW174, Fuzhou (FOC / ZSFZ),10:45 UTC+08,10:45 UTC+08 ,15:22 CST,4h 37m,1,C17
NH842 ANA842, Tokyo (HND / RJTT),10:50 UTC+08,10:53 UTC+08 ,18:29 JST,6h 36m,2,E12
FD358 AIQ358, Bangkok (DMK / VTBD),10:55 UTC+08,11:09 UTC+08 ,12:23 UTC+07,2h 14m,4,G6
QR943 QTR943, Doha (DOH / OTHH),10:55 UTC+08,10:56 UTC+08 ,13:56 UTC+03,8h,1,D32
3K207 JSA207, Jakarta (CGK / WIII),11:00 UTC+08,11:16 UTC+08 ,11:58 WIB,1h 42m,1,D44
BL110 PIC110, Ho Chi Minh City (SGN / VVTS),11:00 UTC+08,11:00 UTC+08 ,12:32 UTC+07,2h 32m,1,D30
6E29 IGO029, Mumbai (BOM / VABB),11:00 UTC+08,11:22 UTC+08 ,14:43 IST,5h 51m,2,E3
KE648 KAL648, Seoul (ICN / RKSI),11:00 UTC+08,11:11 UTC+08 ,18:26 KST,6h 15m,4,G18
TR24 TGW024, Melbourne (MEL / YMML),11:00 UTC+08,11:14 UTC+08 ,21:32 AEDT,7h 17m,1,C15
SQ217 SIA217, Melbourne (MEL / YMML),11:00 UTC+08,11:07 UTC+08 ,21:25 AEDT,7h 18m,3,A10
MH614 MAS614, Kuala Lumpur (KUL / WMKK),11:05 UTC+08,11:31 UTC+08 ,12:27 UTC+08,56m,2,F50
QZ659 AWQ659, Yogyakarta (JOG / WAHH),11:10 UTC+08,11:17 UTC+08 ,12:25 WIB,2h 8m,4,G2
TR252 TGW252, Pekanbaru (PKU / WIBB),11:15 UTC+08,11:25 UTC+08 ,11:10 WIB,45m,1,D40
ID7154 BTK7154, Jakarta (CGK / WIII),11:20 UTC+08,11:20 UTC+08 ,11:57 WIB,1h 37m,1,B6
3K515 JSA515, Bangkok (BKK / VTBS),11:20 UTC+08,11:18 UTC+08 ,12:44 UTC+07,2h 26m,1,D37
TR632 TGW632, Hat Yai (HDY / VTSS),11:25 UTC+08,11:25 UTC+08 ,11:46 UTC+07,1h 21m,1,D42
SQ878 SIA878, Taipei (TPE / RCTP),11:30 UTC+08,11:34 UTC+08 ,16:13 CST,4h 39m,3,B4
AK1310 AXM1310, Ipoh (IPH / WMKI),11:40 UTC+08,11:34 UTC+08 ,12:34 UTC+08,1h,4,G15
AK1720 AXM1720, Penang (PEN / WMKP),11:45 UTC+08,11:42 UTC+08 ,12:53 UTC+08,1h 11m,4,G7
AK1776 AXM1776, Kuching (KCH / WBGG),11:45 UTC+08,11:46 UTC+08 ,13:10 UTC+08,1h 24m,4,G4
AK1794 AXM1794, Kota Kinabalu (BKI / WBKK),11:45 UTC+08,11:37 UTC+08 ,13:51 UTC+08,2h 14m,4,G9
QZ267 AWQ267, Jakarta (CGK / WIII),11:50 UTC+08,11:45 UTC+08 ,12:23 WIB,1h 38m,4,G13
GA843 , Denpasar (DPS / WADD),11:50 UTC+08,NA,NULL,2h 50m,3,A17
JT163 LNI163, Jakarta (CGK / WIII),12:00 UTC+08,12:00 UTC+08 ,12:40 WIB,1h 40m,3,B3
MI482 SLK482, Male (MLE / VRMM),12:00 UTC+08,12:12 UTC+08 ,13:44 UTC+05,4h 32m,2,F40
BI422 RBA422, Brunei (BWN / WBSB),12:10 UTC+08,12:10 UTC+08 ,14:14 UTC+08,2h 4m,2,F30
AK706 AXM706, Kuala Lumpur (KUL / WMKK),12:10 UTC+08,12:16 UTC+08 ,13:04 UTC+08,48m,4,G2
MI606 SLK606, Phnom Penh (PNH / VDPP),12:15 UTC+08,12:18 UTC+08 ,13:02 UTC+07,1h 44m,2,F36
AK1758 AXM1758, Miri (MYY / WBGR),12:15 UTC+08,12:29 UTC+08 ,14:19 UTC+08,1h 50m,4,G8
QZ505 , Denpasar (DPS / WADD),12:15 UTC+08,NA,NULL,2h 50m,4,G2
SQ912 SIA912, Manila (MNL / RPLL),12:15 UTC+08,12:16 UTC+08 ,15:46 PST,3h 30m,2,E20
GA829 GIA829, Jakarta (CGK / WIII),12:20 UTC+08,12:20 UTC+08 ,12:57 WIB,1h 37m,3,A14
SL101 TLM101, Bangkok (DMK / VTBD),12:20 UTC+08,12:25 UTC+08 ,13:49 UTC+07,2h 24m,3,A17
OD804 MXD804, Kuala Lumpur (KUL / WMKK),12:20 UTC+08,12:26 UTC+08 ,13:17 UTC+08,51m,3,A19
TG404 THA404, Bangkok (BKK / VTBS),12:25 UTC+08,12:57 UTC+08 ,14:18 UTC+07,2h 21m,1,C20
SQ958 SIA958, Jakarta (CGK / WIII),12:30 UTC+08,12:22 UTC+08 ,13:13 WIB,1h 51m,2,F54
3K509 JSA509, Bangkok (BKK / VTBS),12:40 UTC+08,12:36 UTC+08 ,13:51 UTC+07,2h 15m,1,C11
SQ318 SIA318, London (LHR / EGLL),12:45 UTC+08,12:41 UTC+08 ,18:50 GMT,14h 9m,3,B9
TR604 TGW604, Bangkok (BKK / VTBS),12:45 UTC+08,12:45 UTC+08 ,13:59 UTC+07,2h 14m,1,D42
MI328 SLK328, Kuala Lumpur (KUL / WMKK),12:50 UTC+08,13:09 UTC+08 ,14:10 UTC+08,1h 1m,2,F35
MH642 MAS642, Kuching (KCH / WBGG),12:50 UTC+08,13:01 UTC+08 ,14:32 UTC+08,1h 31m,2,F32
MI562 SLK562, Davao City (DVO / RPMD),12:50 UTC+08,13:46 UTC+08 ,17:23 PST,3h 37m,2,F40
CX690 CPA690, Hong Kong (HKG / VHHH),12:55 UTC+08,12:56 UTC+08 ,16:46 HKT,3h 50m,4,G19
3K685 JSA685, Kuala Lumpur (KUL / WMKK),12:55 UTC+08,12:51 UTC+08 ,13:48 UTC+08,57m,1,D30
MH628 MAS628, Kuala Lumpur (KUL / WMKK),12:55 UTC+08,13:25 UTC+08 ,14:24 UTC+08,59m,2,E6
3K593 JSA593, Phnom Penh (PNH / VDPP),13:00 UTC+08,13:01 UTC+08 ,13:59 UTC+07,1h 58m,1,D47
UB2 UBA002, Yangon (RGN / VYYY),13:00 UTC+08,13:00 UTC+08 ,14:18 UTC+0630,2h 48m,3,A18
FD377 AIQ377, Phuket (HKT / VTSP),13:05 UTC+08,13:16 UTC+08 ,14:04 UTC+07,1h 48m,4,G2
VJ812 VJC812, Ho Chi Minh City (SGN / VVTS),13:05 UTC+08,13:05 UTC+08 ,14:07 UTC+07,2h 2m,4,G12
TR306 TGW306, Ho Chi Minh City (SGN / VVTS),13:05 UTC+08,13:05 UTC+08 ,14:13 UTC+07,2h 8m,1,D49
SQ866 SIA866, Hong Kong (HKG / VHHH),13:05 UTC+08,13:04 UTC+08 ,17:11 HKT,4h 7m,3,B2
SQ974 SIA974, Bangkok (BKK / VTBS),13:10 UTC+08,13:07 UTC+08 ,14:29 UTC+07,2h 22m,2,F52
VN650 HVN650, Ho Chi Minh City (SGN / VVTS),13:15 UTC+08,13:25 UTC+08 ,14:24 UTC+07,1h 59m,4,G17
BR226 EVA226, Taipei (TPE / RCTP),13:15 UTC+08,13:20 UTC+08 ,17:46 CST,4h 26m,3,B10
TR634 TGW634, Hat Yai (HDY / VTSS),13:25 UTC+08,13:25 UTC+08 ,13:46 UTC+07,1h 21m,1,C25
MI754 SLK754, Phuket (HKT / VTSP),13:25 UTC+08,14:41 UTC+08 ,15:40 UTC+07,1h 59m,2,F32
MI350 SLK350, Penang (PEN / WMKP),13:25 UTC+08,15:05 UTC+08 ,17:07 UTC+08,2h 2m,2,E2
VN660 HVN660, Hanoi (HAN / VVNB),13:25 UTC+08,13:36 UTC+08 ,15:50 UTC+07,3h 14m,4,G5
IX681 AXB681, Tiruchirapalli (TRZ / VOTR),13:25 UTC+08,13:25 UTC+08 ,15:03 IST,4h 8m,2,F33
MI774 SLK774, Koh Samui (USM / VTSM),13:30 UTC+08,13:33 UTC+08 ,14:23 UTC+07,1h 50m,2,E10
CZ354 CSN354, Guangzhou (CAN / ZGGG),13:30 UTC+08,13:30 UTC+08 ,17:44 CST,4h 14m,1,D32
6E52 IGO052, Chennai (MAA / VOMM),13:35 UTC+08,13:27 UTC+08 ,15:07 IST,4h 10m,2,E24
FD331 AIQ331, Krabi (KBV / VTSG),13:40 UTC+08,13:37 UTC+08 ,14:26 UTC+07,1h 49m,4,G2
MH606 MAS606, Kuala Lumpur (KUL / WMKK),13:40 UTC+08,14:03 UTC+08 ,15:07 UTC+08,1h 4m,2,F30
6E44 IGO044, Tiruchirapalli (TRZ / VOTR),13:40 UTC+08,14:07 UTC+08 ,15:33 IST,3h 56m,2,F37
AK1722 AXM1722, Penang (PEN / WMKP),13:45 UTC+08,13:42 UTC+08 ,14:57 UTC+08,1h 15m,4,G9
SQ184 SIA184, Ho Chi Minh City (SGN / VVTS),13:45 UTC+08,13:42 UTC+08 ,14:44 UTC+07,2h 2m,2,E5
8M232 MMA232, Yangon (RGN / VYYY),13:45 UTC+08,13:45 UTC+08 ,15:05 UTC+0630,2h 50m,1,D35
3K823 JSA823, Jieyang (SWA / ZGOW),13:50 UTC+08,13:50 UTC+08 ,17:49 CST,3h 59m,1,D40
TR992 TGW992, Taipei (TPE / RCTP),13:50 UTC+08,13:50 UTC+08 ,18:40 CST,4h 50m,1,D36
SQ326 SIA326, Frankfurt (FRA / EDDF),13:55 UTC+08,13:54 UTC+08 ,20:20 CET,13h 26m,3,B8
MI640 SLK640, Da Nang (DAD / VVDN),13:55 UTC+08,13:57 UTC+08 ,15:43 UTC+07,2h 46m,2,E1
TR904 TGW904, Macau (MFM / VMMC),13:55 UTC+08,13:55 UTC+08 ,17:41 CST,3h 46m,1,C17
EK404 UAE404, Melbourne (MEL / YMML),13:55 UTC+08,13:49 UTC+08 ,00:17 AEDT,7h 28m,1,C13
3K557 JSA557, Ho Chi Minh City (SGN / VVTS),14:00 UTC+08,14:22 UTC+08 ,15:38 UTC+07,2h 16m,1,D32
3K601 JSA601, Siem Reap (REP / VDSR),14:00 UTC+08,13:56 UTC+08 ,15:05 UTC+07,2h 9m,1,D40
GA831 GIA831, Jakarta (CGK / WIII),14:05 UTC+08,14:05 UTC+08 ,14:52 WIB,1h 47m,3,A3
CX712 CPA712, Bangkok (BKK / VTBS),14:05 UTC+08,14:19 UTC+08 ,15:44 UTC+07,2h 25m,4,G20
SQ916 SIA916, Manila (MNL / RPLL),14:05 UTC+08,14:01 UTC+08 ,17:43 PST,3h 42m,2,E26
CI754 CAL754, Taipei (TPE / RCTP),14:05 UTC+08,14:21 UTC+08 ,19:12 CST,4h 51m,3,A17
SQ622 SIA622, Osaka (KIX / RJBB),14:05 UTC+08,14:06 UTC+08 ,21:04 JST,5h 58m,3,A12
SQ634 SIA634, Tokyo (HND / RJTT),14:05 UTC+08,14:12 UTC+08 ,21:39 JST,6h 27m,3,B7
MI196 SLK196, Bandung (BDO / WICC),14:15 UTC+08,14:19 UTC+08 ,15:19 WIB,2h,2,E24
TR980 TGW980, Hong Kong (HKG / VHHH),14:15 UTC+08,14:15 UTC+08 ,18:38 HKT,4h 23m,1,D40
MI224 SLK224, Surabaya (SUB / WARR),14:20 UTC+08,15:08 UTC+08 ,17:15 WIB,3h 7m,2,F52
TR16 TGW016, Perth (PER / YPPH),14:20 UTC+08,14:20 UTC+08 ,19:35 AWST,5h 15m,1,D41
TR686 TGW686, Krabi (KBV / VTSG),14:25 UTC+08,14:25 UTC+08 ,15:25 UTC+07,2h,1,C26
TR112 TGW112, Nanchang (KHN / ZSCN),14:25 UTC+08,14:25 UTC+08 ,19:20 CST,4h 55m,1,D37
MI616 SLK616, Siem Reap (REP / VDSR),14:30 UTC+08,17:03 UTC+08 ,18:20 UTC+07,2h 17m,2,E11
QZ663 AWQ663, Semarang (SRG / WIIS),14:35 UTC+08,14:47 UTC+08 ,16:10 WIB,2h 23m,4,G10
OQ2096 CQN2096, Chongqing (CKG / ZUCK),14:35 UTC+08,14:40 UTC+08 ,19:15 CST,4h 35m,1,D42
SQ602 SIA602, Seoul (ICN / RKSI),14:35 UTC+08,14:36 UTC+08 ,21:42 KST,6h 6m,3,A16
